UserId,RFMClass,RFM_Level
263697,424,Best Customers
263718,411,Potential Customers
263739,122,Promising Customers
263760,444,Best Customers
263781,111,Very inactive
263802,444,Best Customers
263844,122,Promising Customers
263865,111,Very inactive
263886,222,Potential Customers
263907,344,Best Customers
263949,444,Best Customers
263991,322,Loyal Customers
264012,433,Best Customers
264033,121,Needs Attention
264054,111,Very inactive
264096,333,Best Customers
264117,342,Best Customers
264138,344,Best Customers
264159,222,Potential Customers
264180,122,Promising Customers
264201,311,Promising Customers
264222,122,Promising Customers
264243,444,Best Customers
264264,434,Best Customers
264285,134,Good Buyers
264306,411,Potential Customers
264327,411,Potential Customers
264348,311,Promising Customers
264369,322,Loyal Customers
264390,134,Good Buyers
264411,122,Promising Customers
264432,222,Potential Customers
264453,222,Potential Customers
264474,344,Best Customers
264516,322,Loyal Customers
264537,344,Best Customers
264558,444,Best Customers
264579,333,Best Customers
264600,334,Best Customers
264621,122,Promising Customers
264642,211,Needs Attention
264663,313,Loyal Customers
264684,211,Needs Attention
264747,243,Best Customers
264789,233,Good Buyers
264810,344,Best Customers
264831,233,Good Buyers
264852,223,Loyal Customers
264873,244,Best Customers
264894,122,Promising Customers
264915,444,Best Customers
264936,223,Loyal Customers
264957,332,Good Buyers
264978,311,Promising Customers
264999,434,Best Customers
265020,433,Best Customers
265041,444,Best Customers
265062,111,Very inactive
265083,121,Needs Attention
265104,222,Potential Customers
265125,134,Good Buyers
265146,344,Best Customers
265167,444,Best Customers
265188,423,Best Customers
265230,433,Best Customers
265251,222,Potential Customers
265293,244,Best Customers
265335,244,Best Customers
265377,244,Best Customers
265398,322,Loyal Customers
265419,122,Promising Customers
265440,333,Best Customers
265461,211,Needs Attention
265482,333,Best Customers
265503,224,Good Buyers
265524,222,Potential Customers
265545,334,Best Customers
265566,433,Best Customers
265587,344,Best Customers
265608,122,Promising Customers
265629,222,Potential Customers
265650,422,Good Buyers
265671,111,Very inactive
265692,133,Loyal Customers
265713,134,Good Buyers
265734,422,Good Buyers
265776,444,Best Customers
265797,433,Best Customers
265818,323,Good Buyers
265839,311,Promising Customers
265860,411,Potential Customers
265902,444,Best Customers
265944,424,Best Customers
265965,111,Very inactive
266007,222,Potential Customers
266028,444,Best Customers
266049,144,Best Customers
266070,434,Best Customers
266112,111,Very inactive
266133,432,Best Customers
266154,334,Best Customers
266196,333,Best Customers
266238,344,Best Customers
266259,233,Good Buyers
266280,433,Best Customers
266301,444,Best Customers
266322,444,Best Customers
266343,444,Best Customers
266364,444,Best Customers
266385,344,Best Customers
266406,111,Very inactive
266448,244,Best Customers
266469,333,Best Customers
266490,112,Needs Attention
266511,323,Good Buyers
266553,223,Loyal Customers
266574,223,Loyal Customers
266595,422,Good Buyers
266637,323,Good Buyers
266700,444,Best Customers
266721,233,Good Buyers
266742,311,Promising Customers
266763,221,Promising Customers
266784,434,Best Customers
266805,444,Best Customers
266847,122,Promising Customers
266868,344,Best Customers
266889,444,Best Customers
266910,233,Good Buyers
266952,344,Best Customers
266973,423,Best Customers
266994,444,Best Customers
267015,222,Potential Customers
267036,433,Best Customers
267057,133,Loyal Customers
267078,221,Promising Customers
267099,422,Good Buyers
267120,444,Best Customers
267141,344,Best Customers
267162,233,Good Buyers
267183,433,Best Customers
267204,433,Best Customers
267225,122,Promising Customers
267246,344,Best Customers
267267,444,Best Customers
267288,233,Good Buyers
267309,222,Potential Customers
267351,344,Best Customers
267372,111,Very inactive
267393,122,Promising Customers
267414,111,Very inactive
267435,133,Loyal Customers
267456,111,Very inactive
267498,111,Very inactive
267519,223,Loyal Customers
267540,222,Potential Customers
267603,242,Good Buyers
267624,244,Best Customers
267687,444,Best Customers
267708,444,Best Customers
267729,444,Best Customers
267750,211,Needs Attention
267792,234,Best Customers
267813,344,Best Customers
267834,134,Good Buyers
267855,114,Potential Customers
267876,211,Needs Attention
267897,444,Best Customers
267918,234,Best Customers
267939,233,Good Buyers
268002,434,Best Customers
268023,222,Potential Customers
268044,134,Good Buyers
268086,444,Best Customers
268149,123,Potential Customers
268170,113,Promising Customers
268212,233,Good Buyers
268275,433,Best Customers
268338,333,Best Customers
268359,344,Best Customers
268401,223,Loyal Customers
268422,444,Best Customers
268443,434,Best Customers
268464,432,Best Customers
268485,112,Needs Attention
268527,422,Good Buyers
268569,211,Needs Attention
268590,122,Promising Customers
268611,111,Very inactive
268632,122,Promising Customers
268653,122,Promising Customers
268674,233,Good Buyers
268695,312,Potential Customers
268737,111,Very inactive
268758,414,Best Customers
268842,122,Promising Customers
268968,322,Loyal Customers
268989,122,Promising Customers
269031,122,Promising Customers
269052,311,Promising Customers
269094,211,Needs Attention
269115,133,Loyal Customers
269136,222,Potential Customers
269157,111,Very inactive
269178,113,Promising Customers
269220,433,Best Customers
269241,111,Very inactive
269262,233,Good Buyers
269283,214,Loyal Customers
269304,222,Potential Customers
269346,433,Best Customers
269367,422,Good Buyers
269388,433,Best Customers
269409,111,Very inactive
269430,324,Best Customers
269451,111,Very inactive
269472,322,Loyal Customers
269493,122,Promising Customers
269514,122,Promising Customers
269556,244,Best Customers
269577,111,Very inactive
269598,343,Best Customers
269619,444,Best Customers
269640,144,Best Customers
269661,444,Best Customers
269682,223,Loyal Customers
269703,244,Best Customers
269724,332,Good Buyers
269745,122,Promising Customers
269787,333,Best Customers
269829,333,Best Customers
269871,231,Potential Customers
269892,112,Needs Attention
269913,234,Best Customers
269934,243,Best Customers
269955,111,Very inactive
269976,444,Best Customers
269997,133,Loyal Customers
270123,212,Promising Customers
270144,211,Needs Attention
270165,333,Best Customers
270186,122,Promising Customers
270207,344,Best Customers
270228,143,Good Buyers
270291,212,Promising Customers
270312,132,Potential Customers
270333,112,Needs Attention
270375,112,Needs Attention
270396,234,Best Customers
270417,443,Best Customers
270438,133,Loyal Customers
270459,312,Potential Customers
270501,111,Very inactive
270522,413,Good Buyers
270543,333,Best Customers
270564,212,Promising Customers
270585,233,Good Buyers
270606,233,Good Buyers
270648,112,Needs Attention
270690,332,Good Buyers
270711,112,Needs Attention
270753,321,Potential Customers
270795,322,Loyal Customers
270837,111,Very inactive
270921,444,Best Customers
270942,111,Very inactive
270984,432,Best Customers
271026,434,Best Customers
271068,113,Promising Customers
271089,334,Best Customers
271110,334,Best Customers
271152,423,Best Customers
271173,434,Best Customers
271215,122,Promising Customers
271236,244,Best Customers
271257,212,Promising Customers
271299,433,Best Customers
271320,421,Loyal Customers
271341,444,Best Customers
271362,122,Promising Customers
271383,221,Promising Customers
271404,223,Loyal Customers
271425,433,Best Customers
271488,334,Best Customers
271509,111,Very inactive
271530,222,Potential Customers
271551,334,Best Customers
271593,342,Best Customers
271635,444,Best Customers
271656,433,Best Customers
271677,443,Best Customers
271698,311,Promising Customers
271719,234,Best Customers
271740,233,Good Buyers
271782,233,Good Buyers
271824,322,Loyal Customers
271845,122,Promising Customers
271887,133,Loyal Customers
271908,444,Best Customers
271929,344,Best Customers
271950,424,Best Customers
271971,433,Best Customers
271992,433,Best Customers
272013,412,Loyal Customers
272055,444,Best Customers
272076,121,Needs Attention
272097,444,Best Customers
272202,411,Potential Customers
272223,434,Best Customers
272265,243,Best Customers
272286,411,Potential Customers
272307,123,Potential Customers
272328,211,Needs Attention
272370,442,Best Customers
272391,444,Best Customers
272454,111,Very inactive
272496,123,Potential Customers
272517,111,Very inactive
272580,124,Loyal Customers
272601,322,Loyal Customers
272622,122,Promising Customers
272664,311,Promising Customers
272685,433,Best Customers
272727,222,Potential Customers
272748,132,Potential Customers
272769,434,Best Customers
272790,312,Potential Customers
272811,322,Loyal Customers
272853,322,Loyal Customers
272874,433,Best Customers
272895,211,Needs Attention
272937,333,Best Customers
272979,122,Promising Customers
273000,222,Potential Customers
273021,444,Best Customers
273042,111,Very inactive
273063,211,Needs Attention
273084,444,Best Customers
273105,122,Promising Customers
273126,211,Needs Attention
273168,111,Very inactive
273231,111,Very inactive
273252,433,Best Customers
273273,444,Best Customers
273294,444,Best Customers
273315,244,Best Customers
273336,233,Good Buyers
273357,411,Potential Customers
273378,444,Best Customers
273441,444,Best Customers
273483,223,Loyal Customers
273546,423,Best Customers
273567,224,Good Buyers
273588,332,Good Buyers
273609,313,Loyal Customers
273630,433,Best Customers
273672,233,Good Buyers
273693,111,Very inactive
273714,222,Potential Customers
273735,223,Loyal Customers
273777,233,Good Buyers
273798,223,Loyal Customers
273840,433,Best Customers
273903,112,Needs Attention
273924,122,Promising Customers
273945,221,Promising Customers
273966,322,Loyal Customers
273987,344,Best Customers
274008,444,Best Customers
274029,212,Promising Customers
274050,444,Best Customers
274092,122,Promising Customers
274155,233,Good Buyers
274218,311,Promising Customers
274239,111,Very inactive
274260,112,Needs Attention
274281,211,Needs Attention
274302,112,Needs Attention
274344,433,Best Customers
274365,111,Very inactive
274386,332,Good Buyers
274407,211,Needs Attention
274428,412,Loyal Customers
274449,444,Best Customers
274470,111,Very inactive
274512,111,Very inactive
274575,223,Loyal Customers
274617,443,Best Customers
274638,444,Best Customers
274659,411,Potential Customers
274680,111,Very inactive
274701,444,Best Customers
274722,234,Best Customers
274743,421,Loyal Customers
274785,122,Promising Customers
274869,444,Best Customers
274890,444,Best Customers
274911,322,Loyal Customers
274932,222,Potential Customers
274953,144,Best Customers
274974,324,Best Customers
274995,211,Needs Attention
275037,344,Best Customers
275058,444,Best Customers
275079,211,Needs Attention
275121,111,Very inactive
275142,444,Best Customers
275163,311,Promising Customers
275184,423,Best Customers
275226,211,Needs Attention
275247,333,Best Customers
275268,112,Needs Attention
275289,233,Good Buyers
275310,343,Best Customers
275373,444,Best Customers
275415,444,Best Customers
275436,222,Potential Customers
275457,333,Best Customers
275478,333,Best Customers
275520,111,Very inactive
275541,131,Promising Customers
275562,233,Good Buyers
275604,244,Best Customers
275646,444,Best Customers
275667,211,Needs Attention
275730,211,Needs Attention
275751,333,Best Customers
275772,111,Very inactive
275793,111,Very inactive
275814,234,Best Customers
275835,114,Potential Customers
275856,244,Best Customers
275877,444,Best Customers
275898,333,Best Customers
275919,444,Best Customers
275940,232,Loyal Customers
275961,244,Best Customers
275982,321,Potential Customers
276024,111,Very inactive
276045,312,Potential Customers
276066,311,Promising Customers
276087,413,Good Buyers
276108,344,Best Customers
276129,434,Best Customers
276171,133,Loyal Customers
276213,412,Loyal Customers
276255,333,Best Customers
276297,334,Best Customers
276318,233,Good Buyers
276339,443,Best Customers
276360,311,Promising Customers
276381,111,Very inactive
276402,234,Best Customers
276465,333,Best Customers
276486,122,Promising Customers
276507,333,Best Customers
276528,343,Best Customers
276549,213,Potential Customers
276570,321,Potential Customers
276591,332,Good Buyers
276633,421,Loyal Customers
276654,444,Best Customers
276696,332,Good Buyers
276717,211,Needs Attention
276738,344,Best Customers
276822,311,Promising Customers
276843,434,Best Customers
276864,444,Best Customers
276885,111,Very inactive
276906,333,Best Customers
276927,121,Needs Attention
276948,411,Potential Customers
276969,321,Potential Customers
277032,233,Good Buyers
277053,221,Promising Customers
277074,211,Needs Attention
277116,444,Best Customers
277158,444,Best Customers
277179,444,Best Customers
277200,333,Best Customers
277263,433,Best Customers
277347,411,Potential Customers
277368,243,Best Customers
277389,344,Best Customers
277410,222,Potential Customers
277431,433,Best Customers
277452,343,Best Customers
277473,233,Good Buyers
277536,112,Needs Attention
277557,212,Promising Customers
277578,211,Needs Attention
277620,223,Loyal Customers
277641,133,Loyal Customers
277683,111,Very inactive
277704,244,Best Customers
277725,424,Best Customers
277746,111,Very inactive
277767,111,Very inactive
277788,212,Promising Customers
277809,111,Very inactive
277830,444,Best Customers
277872,443,Best Customers
277893,232,Loyal Customers
277935,133,Loyal Customers
277956,323,Good Buyers
277998,423,Best Customers
278019,122,Promising Customers
278040,232,Loyal Customers
278082,211,Needs Attention
278103,132,Potential Customers
278124,221,Promising Customers
278145,312,Potential Customers
278166,444,Best Customers
278187,422,Good Buyers
278208,222,Potential Customers
278229,223,Loyal Customers
278313,123,Potential Customers
278355,412,Loyal Customers
278418,423,Best Customers
278439,231,Potential Customers
278460,212,Promising Customers
278481,113,Promising Customers
278502,111,Very inactive
278523,444,Best Customers
278565,234,Best Customers
278586,444,Best Customers
278607,444,Best Customers
278628,444,Best Customers
278649,444,Best Customers
278670,112,Needs Attention
278691,331,Loyal Customers
278712,311,Promising Customers
278733,211,Needs Attention
278796,222,Potential Customers
278817,411,Potential Customers
278838,332,Good Buyers
278859,211,Needs Attention
278880,233,Good Buyers
278922,423,Best Customers
278943,211,Needs Attention
278964,111,Very inactive
278985,344,Best Customers
279111,132,Potential Customers
279132,322,Loyal Customers
279174,133,Loyal Customers
279195,111,Very inactive
279216,211,Needs Attention
279237,434,Best Customers
279258,412,Loyal Customers
279279,111,Very inactive
279300,122,Promising Customers
279321,232,Loyal Customers
279342,111,Very inactive
279384,121,Needs Attention
279405,434,Best Customers
279447,211,Needs Attention
279468,333,Best Customers
279489,443,Best Customers
279510,333,Best Customers
279531,422,Good Buyers
279573,333,Best Customers
279594,433,Best Customers
279636,334,Best Customers
279657,244,Best Customers
279678,422,Good Buyers
279699,444,Best Customers
279720,243,Best Customers
279741,212,Promising Customers
279762,421,Loyal Customers
279783,423,Best Customers
279804,334,Best Customers
279825,212,Promising Customers
279867,344,Best Customers
279888,113,Promising Customers
279909,313,Loyal Customers
279930,233,Good Buyers
279972,422,Good Buyers
280014,244,Best Customers
280056,233,Good Buyers
280098,122,Promising Customers
280119,133,Loyal Customers
280140,344,Best Customers
280161,133,Loyal Customers
280203,122,Promising Customers
280224,244,Best Customers
280245,122,Promising Customers
280287,212,Promising Customers
280308,211,Needs Attention
280329,411,Potential Customers
280350,423,Best Customers
280371,212,Promising Customers
280392,222,Potential Customers
280434,233,Good Buyers
280455,222,Potential Customers
280476,233,Good Buyers
280497,132,Potential Customers
280518,122,Promising Customers
280539,222,Potential Customers
280602,444,Best Customers
280623,433,Best Customers
280644,211,Needs Attention
280665,344,Best Customers
280686,311,Promising Customers
280728,122,Promising Customers
280749,112,Needs Attention
280770,123,Potential Customers
280812,222,Potential Customers
280833,244,Best Customers
280875,223,Loyal Customers
280896,233,Good Buyers
280959,332,Good Buyers
281001,344,Best Customers
281022,111,Very inactive
281064,344,Best Customers
281085,122,Promising Customers
281148,223,Loyal Customers
281169,433,Best Customers
281190,212,Promising Customers
281211,111,Very inactive
281274,444,Best Customers
281295,122,Promising Customers
281316,333,Best Customers
281337,223,Loyal Customers
281358,122,Promising Customers
281442,222,Potential Customers
281463,411,Potential Customers
281484,411,Potential Customers
281505,222,Potential Customers
281568,444,Best Customers
281610,323,Good Buyers
281631,221,Promising Customers
281694,223,Loyal Customers
281736,323,Good Buyers
281757,422,Good Buyers
281778,444,Best Customers
281799,211,Needs Attention
281820,111,Very inactive
281841,344,Best Customers
281862,244,Best Customers
281925,233,Good Buyers
281946,444,Best Customers
281967,322,Loyal Customers
281988,431,Good Buyers
282009,433,Best Customers
282030,333,Best Customers
282051,233,Good Buyers
282114,212,Promising Customers
282135,444,Best Customers
282156,411,Potential Customers
282177,444,Best Customers
282219,131,Promising Customers
282261,211,Needs Attention
282387,333,Best Customers
282408,444,Best Customers
282429,321,Potential Customers
282450,334,Best Customers
282471,344,Best Customers
282492,112,Needs Attention
282513,112,Needs Attention
282555,333,Best Customers
282576,434,Best Customers
282618,444,Best Customers
282660,311,Promising Customers
282681,323,Good Buyers
282702,111,Very inactive
282744,223,Loyal Customers
282786,112,Needs Attention
282807,433,Best Customers
282828,444,Best Customers
282870,211,Needs Attention
282891,444,Best Customers
282933,222,Potential Customers
282954,131,Promising Customers
282975,133,Loyal Customers
282996,133,Loyal Customers
283017,333,Best Customers
283059,111,Very inactive
283101,344,Best Customers
283122,111,Very inactive
283143,211,Needs Attention
283164,112,Needs Attention
283185,122,Promising Customers
283206,233,Good Buyers
283227,222,Potential Customers
283248,444,Best Customers
283269,212,Promising Customers
283311,233,Good Buyers
283332,233,Good Buyers
283353,112,Needs Attention
283374,122,Promising Customers
283395,434,Best Customers
283416,422,Good Buyers
283437,122,Promising Customers
283479,433,Best Customers
283500,333,Best Customers
283521,133,Loyal Customers
283542,421,Loyal Customers
283563,211,Needs Attention
283584,221,Promising Customers
283605,244,Best Customers
283626,122,Promising Customers
283647,444,Best Customers
283668,111,Very inactive
283689,433,Best Customers
283710,444,Best Customers
283752,111,Very inactive
283773,211,Needs Attention
283794,211,Needs Attention
283815,233,Good Buyers
283836,333,Best Customers
283857,244,Best Customers
283878,222,Potential Customers
283899,211,Needs Attention
283920,234,Best Customers
283941,443,Best Customers
283962,311,Promising Customers
283983,344,Best Customers
284004,323,Good Buyers
284025,412,Loyal Customers
284067,344,Best Customers
284109,212,Promising Customers
284151,122,Promising Customers
284172,331,Loyal Customers
284193,131,Promising Customers
284214,444,Best Customers
284256,444,Best Customers
284298,323,Good Buyers
284319,222,Potential Customers
284424,331,Loyal Customers
284466,432,Best Customers
284508,243,Best Customers
284529,333,Best Customers
284571,111,Very inactive
284592,244,Best Customers
284655,244,Best Customers
284697,322,Loyal Customers
284718,442,Best Customers
284760,421,Loyal Customers
284781,111,Very inactive
284802,234,Best Customers
284823,233,Good Buyers
284844,134,Good Buyers
284865,321,Potential Customers
284886,343,Best Customers
284928,131,Promising Customers
284949,431,Good Buyers
284970,121,Needs Attention
284991,444,Best Customers
285012,123,Potential Customers
285033,321,Potential Customers
285075,333,Best Customers
285096,444,Best Customers
285117,334,Best Customers
285159,422,Good Buyers
285201,111,Very inactive
285243,133,Loyal Customers
285264,121,Needs Attention
285327,213,Potential Customers
285348,444,Best Customers
285369,422,Good Buyers
285390,434,Best Customers
285411,233,Good Buyers
285432,311,Promising Customers
285453,244,Best Customers
285474,222,Potential Customers
285516,443,Best Customers
285558,321,Potential Customers
285579,444,Best Customers
285600,121,Needs Attention
285621,333,Best Customers
285642,222,Potential Customers
285663,321,Potential Customers
285726,331,Loyal Customers
285747,333,Best Customers
285810,443,Best Customers
285831,233,Good Buyers
285894,343,Best Customers
285915,122,Promising Customers
285957,332,Good Buyers
285978,111,Very inactive
286041,221,Promising Customers
286083,333,Best Customers
286146,121,Needs Attention
286167,233,Good Buyers
286209,334,Best Customers
286230,434,Best Customers
286251,214,Loyal Customers
286272,344,Best Customers
286314,343,Best Customers
286335,233,Good Buyers
286356,333,Best Customers
286377,243,Best Customers
286398,411,Potential Customers
286419,223,Loyal Customers
286482,132,Potential Customers
286503,322,Loyal Customers
286524,444,Best Customers
286545,211,Needs Attention
286587,434,Best Customers
286629,122,Promising Customers
286650,434,Best Customers
286671,311,Promising Customers
286692,333,Best Customers
286734,344,Best Customers
286755,233,Good Buyers
286776,132,Potential Customers
286797,412,Loyal Customers
286818,444,Best Customers
286839,143,Good Buyers
286902,233,Good Buyers
286923,111,Very inactive
286986,211,Needs Attention
287007,131,Promising Customers
287028,444,Best Customers
287049,311,Promising Customers
287070,222,Potential Customers
287112,111,Very inactive
287133,332,Good Buyers
287175,122,Promising Customers
287238,111,Very inactive
287280,444,Best Customers
287301,433,Best Customers
287322,111,Very inactive
287364,121,Needs Attention
287385,424,Best Customers
287406,111,Very inactive
287469,213,Potential Customers
287490,211,Needs Attention
287532,333,Best Customers
287574,444,Best Customers
287595,334,Best Customers
287637,311,Promising Customers
287679,112,Needs Attention
287700,344,Best Customers
287763,111,Very inactive
287784,444,Best Customers
287805,423,Best Customers
287826,122,Promising Customers
287847,133,Loyal Customers
287868,131,Promising Customers
287889,444,Best Customers
287910,311,Promising Customers
287931,111,Very inactive
287952,111,Very inactive
288015,143,Good Buyers
288036,121,Needs Attention
288057,343,Best Customers
288078,111,Very inactive
288099,433,Best Customers
288120,233,Good Buyers
288141,322,Loyal Customers
288162,234,Best Customers
288183,111,Very inactive
288225,344,Best Customers
288246,333,Best Customers
288267,322,Loyal Customers
288288,333,Best Customers
288330,233,Good Buyers
288351,122,Promising Customers
288372,322,Loyal Customers
288435,344,Best Customers
288456,443,Best Customers
288477,122,Promising Customers
288519,411,Potential Customers
288540,122,Promising Customers
288561,222,Potential Customers
288582,444,Best Customers
288603,423,Best Customers
288624,233,Good Buyers
288645,121,Needs Attention
288687,114,Potential Customers
288708,223,Loyal Customers
288750,223,Loyal Customers
288771,111,Very inactive
288792,233,Good Buyers
288813,123,Potential Customers
288834,111,Very inactive
288855,444,Best Customers
288876,444,Best Customers
288918,444,Best Customers
288939,322,Loyal Customers
288960,231,Potential Customers
288981,333,Best Customers
289002,112,Needs Attention
289023,214,Loyal Customers
289044,243,Best Customers
289107,444,Best Customers
289149,444,Best Customers
289191,244,Best Customers
289212,343,Best Customers
289254,222,Potential Customers
289317,444,Best Customers
289338,211,Needs Attention
289380,432,Best Customers
289401,111,Very inactive
289422,443,Best Customers
289464,424,Best Customers
289527,222,Potential Customers
289590,432,Best Customers
289611,213,Potential Customers
289632,211,Needs Attention
289758,444,Best Customers
289779,223,Loyal Customers
289800,122,Promising Customers
289821,222,Potential Customers
289842,234,Best Customers
289863,111,Very inactive
289884,344,Best Customers
289905,213,Potential Customers
289926,211,Needs Attention
289968,434,Best Customers
289989,111,Very inactive
290010,323,Good Buyers
290031,113,Promising Customers
290052,322,Loyal Customers
290073,333,Best Customers
290094,233,Good Buyers
290115,344,Best Customers
290136,322,Loyal Customers
290157,322,Loyal Customers
290199,123,Potential Customers
290241,132,Potential Customers
290262,432,Best Customers
290283,323,Good Buyers
290304,334,Best Customers
290346,111,Very inactive
290367,232,Loyal Customers
290388,311,Promising Customers
290451,434,Best Customers
290472,311,Promising Customers
290493,122,Promising Customers
290535,333,Best Customers
290577,121,Needs Attention
290598,443,Best Customers
290661,111,Very inactive
290682,244,Best Customers
290724,422,Good Buyers
290745,212,Promising Customers
290766,333,Best Customers
290808,213,Potential Customers
290829,243,Best Customers
290850,233,Good Buyers
290871,234,Best Customers
290913,223,Loyal Customers
290934,444,Best Customers
290976,112,Needs Attention
291018,211,Needs Attention
291039,121,Needs Attention
291060,433,Best Customers
291102,444,Best Customers
291123,121,Needs Attention
291165,222,Potential Customers
291186,211,Needs Attention
291207,333,Best Customers
291228,424,Best Customers
291249,244,Best Customers
291270,444,Best Customers
291291,344,Best Customers
291333,222,Potential Customers
291354,122,Promising Customers
291375,244,Best Customers
291396,211,Needs Attention
291417,211,Needs Attention
291438,223,Loyal Customers
291480,344,Best Customers
291501,444,Best Customers
291522,433,Best Customers
291543,444,Best Customers
291564,433,Best Customers
291585,122,Promising Customers
291606,211,Needs Attention
291627,122,Promising Customers
291648,222,Potential Customers
291669,212,Promising Customers
291690,444,Best Customers
291732,322,Loyal Customers
291753,123,Potential Customers
291774,322,Loyal Customers
291795,344,Best Customers
291837,312,Potential Customers
291858,111,Very inactive
291879,422,Good Buyers
291900,133,Loyal Customers
291921,244,Best Customers
291984,322,Loyal Customers
292068,244,Best Customers
292131,244,Best Customers
292194,422,Good Buyers
292257,321,Potential Customers
292278,323,Good Buyers
292299,222,Potential Customers
292362,111,Very inactive
292383,222,Potential Customers
292404,444,Best Customers
292425,223,Loyal Customers
292446,311,Promising Customers
292467,222,Potential Customers
292488,422,Good Buyers
292509,113,Promising Customers
292530,212,Promising Customers
292551,233,Good Buyers
292572,111,Very inactive
292593,222,Potential Customers
292614,123,Potential Customers
292656,122,Promising Customers
292677,111,Very inactive
292698,311,Promising Customers
292719,332,Good Buyers
292740,433,Best Customers
292761,334,Best Customers
292866,212,Promising Customers
292887,211,Needs Attention
292908,111,Very inactive
292929,444,Best Customers
292950,423,Best Customers
292971,123,Potential Customers
292992,144,Best Customers
293013,424,Best Customers
293034,422,Good Buyers
293055,122,Promising Customers
293076,443,Best Customers
293139,232,Loyal Customers
293160,311,Promising Customers
293202,311,Promising Customers
293223,122,Promising Customers
293307,111,Very inactive
293349,444,Best Customers
293391,344,Best Customers
293412,211,Needs Attention
293433,111,Very inactive
293454,322,Loyal Customers
293475,344,Best Customers
293496,112,Needs Attention
